Details,Posting Date,Description,Amount,Type,Balance,Check or Slip #
DEBIT,02/17/2026,DELMARVA UTILITY BILLPAY                    PPD ID: 0000000160,-355.22,ACH_DEBIT,3985.42,
DEBIT,02/17/2026,Amazon.com*B11339I62 Amzn.com/bill WA        02/16,-4.55,DEBIT_CARD,4340.64,
DEBIT,02/17/2026,AMAZON MKTPL*VJ8OX9P Amzn.com/bill WA        02/16,-6.99,DEBIT_CARD,4345.19,
DEBIT,02/17/2026,SUPER TEACHER WORKSHE 716-260-2560 NY        02/16,-24.95,DEBIT_CARD,4352.18,
DEBIT,02/17/2026,Online Transfer to CHK ...9560 transaction#: 28089688068 02/17,-10,ACCT_XFER,4377.13,
DEBIT,02/17/2026,ACME 0828 HOCKESSIN DE                       02/15,-62.27,DEBIT_CARD,4387.13,
DEBIT,02/17/2026,DRIP CAFE HOCKESSIN DE                       02/15,-6.75,DEBIT_CARD,4449.4,
DEBIT,02/17/2026,DRIP CAFE HOCKESSIN DE                       02/15,-8.75,DEBIT_CARD,4456.15,
DEBIT,02/17/2026,WALGREENS #11133 NEWARK DE                   02/14,-5,DEBIT_CARD,4464.9,
DEBIT,02/17/2026,WAWA #0888 NEWARK DE                         02/14,-4.79,DEBIT_CARD,4469.9,
DEBIT,02/17/2026,WAWA 0888 610-358-8000 DE                    02/14,-42.5,DEBIT_CARD,4474.69,
DEBIT,02/17/2026,10163 CAVA CHRISTIANA NEWARK DE              02/14,-13.75,DEBIT_CARD,4517.19,
DEBIT,02/17/2026,TRADER JOE S #75 2500 NEWARK DE      431230  02/14,-154.85,DEBIT_CARD,4530.94,
DEBIT,02/17/2026,THE HOME DEPOT #1601 NEWARK DE       728323  02/14,-26.94,DEBIT_CARD,4685.79,
DEBIT,02/17/2026,Autopay to Chase Pay in 4 (...8989) 02/17,-20.3,LOAN_PMT,4712.73,
DEBIT,02/17/2026,Autopay to Chase Pay in 4 (...8561) 02/17,-24.75,LOAN_PMT,4733.03,
DEBIT,02/17/2026,Autopay to Chase Pay in 4 (...8747) 02/17,-40.52,LOAN_PMT,4757.78,
DEBIT,02/17/2026,TOTAL WINE & MORE 1 WILMINGTON DE            02/13,-45.98,DEBIT_CARD,4798.3,
DEBIT,02/17/2026,Amazon.com*X25EZ92F3 Amzn.com/bill WA        02/14,-37.13,DEBIT_CARD,4844.28,
DEBIT,02/17/2026,SP WILDGRAIN WILDGRAIN.COM MA                02/13,-69,DEBIT_CARD,4881.41,
DEBIT,02/17/2026,CEDARS OF WILLIAMSBURG 757-2293591 VA        02/13,-95.64,DEBIT_CARD,4950.41,
DEBIT,02/13/2026,AIRBNB * HMCADQZBFE AIRBNB.COM CA            02/13,-138.49,DEBIT_CARD,5046.05,
DEBIT,02/13/2026,Online Payment 27703543614 To Auto Loan 0807 02/13,-595.12,LOAN_PMT,5184.54,
DEBIT,02/13/2026,ACI***AccessOne  Web Pay                    PPD ID: 1222528268,-104.53,ACH_DEBIT,5779.66,
DEBIT,02/13/2026,Amazon.com*O40WN4EJ3 Amzn.com/bill WA        02/13,-15.65,DEBIT_CARD,5884.19,
DEBIT,02/13/2026,Amazon.com*LL7PD0E63 Amzn.com/bill WA        02/13,-14.94,DEBIT_CARD,5899.84,
DEBIT,02/13/2026,AMAZON MKTPL*U935R8V Amzn.com/bill WA        02/13,-21.22,DEBIT_CARD,5914.78,
DEBIT,02/13/2026,AMAZON MKTPL*793HB76 Amzn.com/bill WA        02/13,-21.69,DEBIT_CARD,5936,
DEBIT,02/13/2026,Amazon.com*M71XA3IH3 Amzn.com/bill WA        02/13,-4.83,DEBIT_CARD,5957.69,
DEBIT,02/13/2026,Amazon.com*FD1R74QE3 Amzn.com/bill WA        02/13,-5.01,DEBIT_CARD,5962.52,
DEBIT,02/13/2026,DTC CAFE WILMINGTON DE                       02/12,-6,DEBIT_CARD,5967.53,
DEBIT,02/13/2026,AMAZON MKTPL*3E8GD89 Amzn.com/bill WA        02/13,-16.99,DEBIT_CARD,5973.53,
CREDIT,02/13/2026,JPMORGAN CHASE B PAYROLL DD                 PPD ID: 1134994650,3682.15,ACH_CREDIT,5990.52,
DEBIT,02/12/2026,DTC CAFE WILMINGTON DE                       02/11,-3.88,DEBIT_CARD,2308.37,
CREDIT,02/12/2026,Wingmom Delaware Bluevine                   PPD ID: 2330165191,59.9,ACH_CREDIT,2312.25,
DEBIT,02/11/2026,Online Transfer to CHK ...9560 transaction#: 28033546780 02/11,-21.45,ACCT_XFER,2252.35,
DEBIT,02/11/2026,SQ *OKINAWAN KARATE DO gosq.com DE           02/10,-128,DEBIT_CARD,2273.8,
DEBIT,02/10/2026,PAYPAL           INST XFER  HARRYSUSAIN     WEB ID: PAYPALSI77,-16.15,ACH_DEBIT,2401.8,
DEBIT,02/10/2026,CHASE CREDIT CRD AUTOPAY                    PPD ID: 4760039224,-372,ACH_DEBIT,2417.95,
DEBIT,02/10/2026,TST*DEL PEZ NEWARK Newark DE                 02/09,-28.92,DEBIT_CARD,2789.95,
DEBIT,02/10/2026,Amazon Tips*KX97O8BO Amzn.com/bill WA        02/09,-5,DEBIT_CARD,2818.87,
DEBIT,02/10/2026,DTC CAFE WILMINGTON DE                       02/09,-6.33,DEBIT_CARD,2823.87,
DEBIT,02/10/2026,FSP*BRAELOCH BREWING KENNETT SQUAR PA        02/09,-57.12,DEBIT_CARD,2830.2,
DEBIT,02/09/2026,Amazon.com*496204K73 Amzn.com/bill WA        02/09,-33.93,DEBIT_CARD,2887.32,
DEBIT,02/09/2026,Amazon.com*X59WS30G3 Amzn.com/bill WA        02/09,-0.25,DEBIT_CARD,2921.25,
DEBIT,02/09/2026,Amazon.com*YG8XR6YE3 Amzn.com/bill WA        02/08,-31.44,DEBIT_CARD,2921.5,
DEBIT,02/09/2026,Online Transfer to CHK ...9560 transaction#: 27997222544 02/09,-26.5,ACCT_XFER,2952.94,
DEBIT,02/09/2026,Online Transfer to CHK ...9560 transaction#: 27997205213 02/09,-62,ACCT_XFER,2979.44,
DEBIT,02/09/2026,Amazon.com*5B3J27IK3 Amzn.com/bill WA        02/08,-4.82,DEBIT_CARD,3041.44,
DEBIT,02/09/2026,ACME 0826 WILMINGTON DE                      02/07,-86.58,DEBIT_CARD,3046.26,
DEBIT,02/09/2026,SPEECHIFY* TYXF0XUQ- SPEECHIFY.COM FL        02/06,-139,DEBIT_CARD,3132.84,
CREDIT,02/09/2026,VENMO            CASHOUT                    PPD ID: 5264681992,51,MISC_CREDIT,3271.84,
DEBIT,02/09/2026,SPEECHIFY* TYXF0XUQ- ST. PETERSBUR FL        02/08,139,DEBIT_CARD,3220.84,
DEBIT,02/06/2026,STARBUCKS 8007827282 800-782-7282 WA         02/06,-4.95,DEBIT_CARD,3081.84,
DEBIT,02/06/2026,365 Market J 888 432-32 TROY MI              02/05,-3.19,DEBIT_CARD,3086.79,
DEBIT,02/06/2026,DTC CAFE WILMINGTON DE                       02/05,-3.76,DEBIT_CARD,3089.98,
CREDIT,02/06/2026,UNIVERSITY OF DE PAYROLL                    PPD ID: 1516000297,1078.63,ACH_CREDIT,3093.74,
DEBIT,02/05/2026,PAYPAL           INST XFER  COOKUNITYIN     WEB ID: PAYPALSI77,-127.19,ACH_DEBIT,2015.11,
DEBIT,02/05/2026,Online Transfer to CHK ...9560 transaction#: 27798571383 02/05,-220,ACCT_XFER,2142.3,
DEBIT,02/05/2026,Online Transfer to CHK ...9560 transaction#: 27957489077 02/05,-120,ACCT_XFER,2362.3,
DEBIT,02/05/2026,HAYWORTH & FINCH WILMINGTON DE               02/04,-50,DEBIT_CARD,2482.3,
DEBIT,02/05/2026,DTC CAFE WILMINGTON DE                       02/04,-3.26,DEBIT_CARD,2532.3,
DEBIT,02/05/2026,DTC CAFE WILMINGTON DE                       02/04,-5.69,DEBIT_CARD,2535.56,
DEBIT,02/05/2026,Amazon.com*9K86V8LQ3 Amzn.com/bill WA        02/04,-9.88,DEBIT_CARD,2541.25,
DEBIT,02/05/2026,AMAZON MKTPL*G35UY8U Amzn.com/bill WA        02/04,-7.99,DEBIT_CARD,2551.13,
DEBIT,02/05/2026,Amazon.com*NB7TF9GH3 Amzn.com/bill WA        02/04,-6.42,DEBIT_CARD,2559.12,
DEBIT,02/05/2026,Amazon.com*BR0PX4RS3 Amzn.com/bill WA        02/04,-5.94,DEBIT_CARD,2565.54,
DEBIT,02/05/2026,Amazon.com*QQ41M0U73 Amzn.com/bill WA        02/04,-13.49,DEBIT_CARD,2571.48,
DEBIT,02/05/2026,Amazon.com*452UK40J3 Amzn.com/bill WA        02/04,-8.07,DEBIT_CARD,2584.97,
DEBIT,02/05/2026,Amazon.com*061FT5793 Amzn.com/bill WA        02/04,-5.32,DEBIT_CARD,2593.04,
DEBIT,02/05/2026,Amazon.com*6820S9LL3 Amzn.com/bill WA        02/04,-5.18,DEBIT_CARD,2598.36,
CREDIT,02/05/2026,Wingmom Delaware Bluevine                   PPD ID: 2330165191,59.9,ACH_CREDIT,2603.54,
DEBIT,02/04/2026,VENMO            PAYMENT    1048037618064   WEB ID: 3264681992,-7.75,MISC_DEBIT,2543.64,
DEBIT,02/04/2026,SP CLEVR BLENDS CLEVRBLENDS.C CA             02/04,-23.65,DEBIT_CARD,2551.39,
DEBIT,02/04/2026,DTC CAFE WILMINGTON DE                       02/03,-4.73,DEBIT_CARD,2575.04,
CREDIT,02/04/2026,Pay in 4 Deposit  - POS DEBIT HAYWORTH & (...6508),50,MISC_CREDIT,2579.77,
DEBIT,02/03/2026,CHEWY.COM 800-672-4399 FL                    02/03,-44.93,DEBIT_CARD,2529.77,
DEBIT,02/03/2026,SP CLEVR BLENDS CLEVRBLENDS.C CA             02/02,-81.2,DEBIT_CARD,2574.7,
DEBIT,02/03/2026,ACME 0826 WILMINGTON DE                      02/02,-10.98,DEBIT_CARD,2655.9,
DEBIT,02/03/2026,DRIVEEZMD MPC 888-5552222 MD                 02/02,-8,DEBIT_CARD,2666.88,
DEBIT,02/03/2026,DRIVEEZMD MPC 888-5552222 MD                 02/02,-4,DEBIT_CARD,2674.88,
DEBIT,02/03/2026,DTC CAFE WILMINGTON DE                       02/02,-4.73,DEBIT_CARD,2678.88,
DEBIT,02/03/2026,AMAZON MKTPL*CP9MD9N Amzn.com/bill WA        02/02,-19.42,DEBIT_CARD,2683.61,
DEBIT,02/02/2026,CAPITAL ONE      MOBILE PMT CA020FF8B18A3C3 WEB ID: 9279744380,-2000,ACH_DEBIT,2703.03,
DEBIT,02/02/2026,HOMESITE         INS PREM                   PPD ID: 1043361207,-247,ACH_DEBIT,4703.03,
DEBIT,02/02/2026,VENMO            PAYMENT    1047991002106   WEB ID: 3264681992,-2600,ACH_DEBIT,4950.03,
DEBIT,02/02/2026,help.hbomax.com New York NY                  02/02,-2.99,DEBIT_CARD,7550.03,
DEBIT,02/02/2026,ACME 0828 HOCKESSIN DE                       02/01,-4.79,DEBIT_CARD,7553.02,
DEBIT,02/02/2026,ACME 0826 WILMINGTON DE                      02/01,-43.98,DEBIT_CARD,7557.81,
DEBIT,02/02/2026,TRADER JOE S #75 2500 NEWARK DE      901984  01/31,-171.72,DEBIT_CARD,7601.79,
DEBIT,02/02/2026,TARGET T-2764 NEWARK DE              061815  01/31,-36.73,DEBIT_CARD,7773.51,
DEBIT,02/02/2026,SQ *GOLDEN BERYL CONFEC Newark DE            01/31,-15,DEBIT_CARD,7810.24,
DEBIT,02/02/2026,Online Transfer to CHK ...9560 transaction#: 27894876903 02/02,-12,ACCT_XFER,7825.24,
DEBIT,02/02/2026,Autopay to Chase Pay in 4 (...8561) 02/02,-24.75,LOAN_PMT,7837.24,
DEBIT,02/02/2026,Autopay to Chase Pay in 4 (...8747) 02/02,-40.52,LOAN_PMT,7861.99,
DEBIT,02/02/2026,Autopay to Chase Pay in 4 (...8989) 02/02,-20.3,LOAN_PMT,7902.51,
DEBIT,02/02/2026,GEICO            PREM COLL                  PPD ID: 3530075853,-287.71,ACH_DEBIT,7922.81,
DEBIT,02/02/2026,Amazon.com*8628I3GU3 Amzn.com/bill WA        01/31,-15.65,DEBIT_CARD,8210.52,
DEBIT,02/02/2026,TOTAL WINE & MORE 1 WILMINGTON DE            01/30,-15.98,DEBIT_CARD,8226.17,
DEBIT,02/02/2026,ACME 0826 WILMINGTON DE                      01/30,-29.91,DEBIT_CARD,8242.15,
DEBIT,02/02/2026,DTC CAFE WILMINGTON DE                       01/30,-4.73,DEBIT_CARD,8272.06,
DEBIT,02/02/2026,DTC CAFE WILMINGTON DE                       01/30,-4.4,DEBIT_CARD,8276.79,
DEBIT,02/02/2026,TST*BREW HAHA Wilmington DE                  01/30,-13.15,DEBIT_CARD,8281.19,
DEBIT,02/02/2026,EVERGREEN WASTE SERVIC 302-6357055 DE        01/30,-27,DEBIT_CARD,8294.34,
DEBIT,02/02/2026,Amazon.com*KZ9YV60P3 Amzn.com/bill WA        01/30,-21.2,DEBIT_CARD,8321.34,
DEBIT,02/02/2026,Amazon.com*870X07AF3 Amzn.com/bill WA        01/30,-4.66,DEBIT_CARD,8342.54,
DEBIT,02/02/2026,Amazon.com*4T2AO5FY3 Amzn.com/bill WA        01/30,-5.84,DEBIT_CARD,8347.2,
DEBIT,02/02/2026,Amazon.com*GB1OB6VA3 Amzn.com/bill WA        01/30,-6.86,DEBIT_CARD,8353.04,
DEBIT,02/02/2026,Amazon.com*EC5U00GQ3 Amzn.com/bill WA        01/30,-5.04,DEBIT_CARD,8359.9,
DEBIT,02/02/2026,AMAZON MKTPL*ZI2ZG16 Amzn.com/bill WA        01/30,-5.44,DEBIT_CARD,8364.94,
DEBIT,02/02/2026,Amazon.com*IK4TI0BU3 Amzn.com/bill WA        01/30,-9.98,DEBIT_CARD,8370.38,
DEBIT,02/02/2026,AMAZON MKTPL*PB9DK2W Amzn.com/bill WA        01/30,-14.99,DEBIT_CARD,8380.36,
DEBIT,02/02/2026,AMAZON MKTPL*X82FX43 Amzn.com/bill WA        01/30,-21.2,DEBIT_CARD,8395.35,
DEBIT,02/02/2026,AMAZON MKTPL*IX21V5B Amzn.com/bill WA        01/30,-6.99,DEBIT_CARD,8416.55,
DEBIT,02/02/2026,AMAZON MKTPL*733593A Amzn.com/bill WA        01/30,-23.75,DEBIT_CARD,8423.54,
DEBIT,02/02/2026,AMAZON MKTPL*MP4BB2Q Amzn.com/bill WA        01/30,-25.45,DEBIT_CARD,8447.29,
DEBIT,02/02/2026,AMAZON MKTPLACE PMTS Amzn.com/bill WA        01/30,21.99,DEBIT_CARD,8472.74,
